,Name,Address,lat,lng
167,Xinmin Primary School,Singapore Xinmin Primary School,1.371371,103.883074
168,Xishan Primary School,Singapore Xishan Primary School,1.4334915,103.8374838
169,Yangzheng Primary School,Singapore Yangzheng Primary School,1.349218,103.8685545
170,Yew Tee Primary School,Singapore Yew Tee Primary School,1.396978,103.7511849
171,Yio Chu Kang Primary School,Singapore Yio Chu Kang Primary School,1.3779961,103.8855816
172,Yishun Primary School,Singapore Yishun Primary School,1.4334926,103.8338127
173,Yu Neng Primary School,Singapore Yu Neng Primary School,1.3338292,103.9318969
174,Yuhua Primary School,Singapore Yuhua Primary School,1.3429774,103.7409109
175,Yumin Primary School,Singapore Yumin Primary School,1.3516199,103.9511251
176,Zhangde Primary School,Singapore Zhangde Primary School,1.2842268,103.8267059
177,Zhenghua Primary School,Singapore Zhenghua Primary School,1.3796697,103.7692818
178,Zhonghua Primary School,Singapore Zhonghua Primary School,1.3598531,103.8695741
